,Temperature,Luminosity,Radius,Absolute magnitude,Star type,Star color,Spectral Class,cluster_id_4,cluster_id_7
0,3068,0.0024,0.17,16.12,0,Red,M,2,0
1,3042,0.0005,0.1542,16.6,0,Red,M,2,0
2,2600,0.0003,0.102,18.7,0,Red,M,2,0
3,2800,0.0002,0.16,16.65,0,Red,M,2,0
4,1939,0.000138,0.10300000000000001,20.06,0,Red,M,2,0
5,2840,0.00065,0.11,16.98,0,Red,M,2,0
6,2637,0.00073,0.127,17.22,0,Red,M,2,0
7,2600,0.0004,0.096,17.4,0,Red,M,2,0
8,2650,0.0006900000000000001,0.11,17.45,0,Red,M,2,0
9,2700,0.00018,0.13,16.05,0,Red,M,2,0
10,3600,0.0029,0.51,10.69,1,Red,M,2,0
11,3129,0.0122,0.3761,11.79,1,Red,M,2,0
12,3134,0.0004,0.196,13.21,1,Red,M,2,0
13,3628,0.0055,0.39299999999999996,10.48,1,Red,M,2,0
14,2650,0.0006,0.14,11.782,1,Red,M,2,0
15,3340,0.0038,0.24,13.07,1,Red,M,2,0
16,2799,0.0018,0.16,14.79,1,Red,M,2,0
17,3692,0.00367,0.47,10.8,1,Red,M,2,0
18,3192,0.0036200000000000004,0.1967,13.53,1,Red,M,2,0
19,3441,0.039,0.35100000000000003,11.18,1,Red,M,2,0
20,25000,0.055999999999999994,0.0084,10.58,2,Blue White,B,3,6
21,7740,0.00049,0.01234,14.02,2,White,A,2,0
22,7220,0.00016999999999999999,0.011000000000000001,14.23,2,White,F,2,0
23,8500,0.0005,0.01,14.5,2,White,A,2,0
24,16500,0.013000000000000001,0.013999999999999999,11.89,2,Blue White,B,2,6
25,12990,8.499999999999999e-05,0.00984,12.23,2,Yellowish White,F,2,6
26,8570,0.00081,0.0097,14.2,2,Blue white,A,2,0
27,7700,0.00011,0.0128,14.47,2,Yellowish White,F,2,0
28,11790,0.00015,0.011000000000000001,12.59,2,Yellowish White,F,2,6
29,7230,8e-05,0.013000000000000001,14.08,2,Pale yellow orange,F,2,0
30,39000,204000.0,10.6,-4.7,3,Blue,O,3,3
31,30000,28840.0,6.3,-4.2,3,Blue-white,B,3,3
32,15276,1136.0,7.2,-1.97,3,Blue-white,B,3,1
33,9700,74.0,2.89,0.16,3,Whitish,B,2,1
34,5800,0.81,0.9,5.05,3,yellow-white,F,2,1
35,8052,8.7,1.8,2.42,3,Whitish,A,2,1
36,6757,1.43,1.12,2.41,3,yellow-white,F,2,1
37,6380,1.35,0.98,2.93,3,yellow-white,F,2,1
38,5936,1.357,1.1059999999999999,4.46,3,yellow-white,F,2,1
39,5587,0.8190000000000001,0.99,5.03,3,yellow-white,F,2,1
40,3826,200000.0,19.0,-6.93,4,Red,M,3,4
41,3365,340000.0,23.0,-6.2,4,Red,M,3,4
42,3270,150000.0,88.0,-6.02,4,Red,M,3,1
43,3200,195000.0,17.0,-7.22,4,Red,M,3,4
44,3008,280000.0,25.0,-6.0,4,Red,M,3,4
45,3600,320000.0,29.0,-6.6,4,Red,M,3,4
46,3575,123000.0,45.0,-6.78,4,Red,M,3,1
47,3574,200000.0,89.0,-5.24,4,Red,M,3,4
48,3625,184000.0,84.0,-6.74,4,Red,M,3,4
49,33750,220000.0,26.0,-6.1,4,Blue,B,3,3
50,3490,270000.0,1520.0,-9.4,5,Red,M,0,2
51,3750,283000.0,1260.0,-7.63,5,Red,M,0,2
52,3834,272000.0,1183.0,-9.2,5,Red,M,0,2
53,3749,550000.0,1648.0,-8.05,5,Orange,M,0,2
54,3650,310000.0,1324.0,-7.79,5,Red,M,0,2
55,3450,263000.0,1349.0,-11.75,5,Red,M,0,2
56,3660,363000.0,1673.0,-11.92,5,Red,M,0,2
57,3450,174000.0,1284.0,-11.28,5,Red,M,0,2
58,3752,209000.0,955.0,-11.24,5,Red,M,0,2
59,3535,195000.0,1546.0,-11.36,5,Red,M,0,2
60,3341,0.0056,0.057,16.23,0,Red,M,2,0
61,3432,0.00067,0.19,16.94,0,Red,M,2,0
62,2983,0.00023999999999999998,0.094,16.09,0,Red,M,2,0
63,2835,0.00033999999999999997,0.0918,16.96,0,Red,M,2,0
64,2935,0.00014,0.11599999999999999,18.89,0,Red,M,2,0
65,3295,0.00098,0.132,17.13,0,Red,M,2,0
66,2945,0.00032,0.09300000000000001,18.34,0,Red,M,2,0
67,2817,0.00098,0.0911,16.45,0,Red,M,2,0
68,2774,0.00036,0.11800000000000001,17.39,0,Red,M,2,0
69,2871,0.00072,0.12,19.43,0,Red,M,2,0
70,3345,0.021,0.273,12.3,1,Red,M,2,0
71,3607,0.022000000000000002,0.38,10.12,1,Red,M,2,0
72,3304,0.0085,0.18,13.2,1,Red,M,2,0
73,3150,0.0088,0.35,11.94,1,Red,M,2,0
74,3550,0.004,0.29100000000000004,10.89,1,Red,M,2,0
75,3180,0.001,0.35,11.76,1,Red,M,2,0
76,2890,0.0034,0.24,13.46,1,Red,M,2,0
77,3342,0.0015,0.307,11.87,1,Red,M,2,0
78,2621,0.0006,0.098,12.81,1,Red,M,2,0
79,3158,0.00135,0.161,13.98,1,Red,M,2,0
80,7100,0.00029,0.012,14.09,2,White-Yellow,F,2,0
81,10574,0.00014,0.0092,12.02,2,White,F,2,6
82,8930,0.00056,0.0095,13.78,2,white,A,2,0
83,17200,0.00098,0.015,12.45,2,Blue White,B,2,6
84,14100,0.00067,0.0089,12.17,2,Blue White,B,2,6
85,9675,0.00045,0.0109,13.98,2,Blue White,A,2,0
86,12010,0.00078,0.0092,12.13,2,Blue White,B,2,6
87,10980,0.00074,0.0087,11.19,2,Blue White,B,2,6
88,13720,0.00018,0.00892,12.97,2,white,F,2,6
89,19860,0.0011,0.0131,11.34,2,Blue ,B,2,6
90,5300,0.59,0.91,5.49,3,yellow-white,F,2,1
91,4526,0.153,0.865,6.506,3,yellowish,K,2,1
92,4077,0.085,0.795,6.228,3,yellowish,K,2,1
93,4980,0.35700000000000004,1.13,4.78,3,Yellowish,K,2,1
94,9030,45.0,2.63,1.45,3,Blue-white,A,2,1
95,11250,672.0,6.98,-2.3,3,Blue-white,A,3,1
96,5112,0.63,0.8759999999999999,4.68,3,Orange-Red,K,2,1
97,7720,7.92,1.34,2.44,3,yellow-white,F,2,1
98,12098,689.0,7.01,0.02,3,Blue-white,A,3,1
99,36108,198000.0,10.2,-4.4,3,Blue,O,3,3
100,33300,240000.0,12.0,-6.5,4,Blue,B,3,3
101,40000,813000.0,14.0,-6.23,4,Blue,O,1,5
102,23000,127000.0,36.0,-5.76,4,Blue,O,3,3
103,17120,235000.0,83.0,-6.89,4,Blue,O,3,4
104,11096,112000.0,12.0,-5.91,4,Blue,O,3,1
105,14245,231000.0,42.0,-6.12,4,Blue,O,3,4
106,24630,363000.0,63.0,-5.83,4,Blue,O,3,3
107,12893,184000.0,36.0,-6.34,4,Blue,O,3,4
108,24345,142000.0,57.0,-6.24,4,Blue,O,3,3
109,33421,352000.0,67.0,-5.79,4,Blue,O,3,3
110,3459,100000.0,1289.0,-10.7,5,Red,M,0,2
111,3605,126000.0,1124.0,-10.81,5,Red,M,0,2
112,3615,200000.0,1635.0,-11.33,5,Red,M,0,2
113,3399,117000.0,1486.0,-10.92,5,Red,M,0,2
114,3610,132000.0,1522.0,-10.86,5,Red,M,0,2
115,3553,145000.0,1324.0,-11.03,5,Red,M,0,2
116,4015,282000.0,1534.0,-11.39,5,Red,K,0,2
117,3625,74000.0,876.0,-10.25,5,Red,M,0,2
118,6850,229000.0,1467.0,-10.07,5,Red,G,0,2
119,3780,200000.0,1324.0,-10.7,5,Red,M,0,2
120,3323,0.00043,0.0912,17.16,0,Red,M,2,0
121,3531,0.00093,0.0976,19.94,0,Red,M,2,0
122,3218,0.00054,0.11,20.02,0,Red,M,2,0
123,3146,0.00015,0.0932,16.92,0,Red,M,2,0
124,3511,0.00064,0.109,17.12,0,Red,M,2,0
